Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;26;27;6;6;21;21;36
00000_00001.ppm;29;27;6;5;23;22;36
00000_00002.ppm;28;29;5;6;23;24;36
00000_00003.ppm;31;31;5;6;25;26;36
00000_00004.ppm;33;33;5;5;27;28;36
00000_00005.ppm;35;34;6;6;30;29;36
00000_00006.ppm;37;37;6;6;32;32;36
00000_00007.ppm;38;37;5;5;32;32;36
00000_00008.ppm;39;39;5;5;34;34;36
00000_00009.ppm;40;40;6;6;35;35;36
00000_00010.ppm;43;43;5;5;38;38;36
00000_00011.ppm;43;44;5;6;38;39;36
00000_00012.ppm;46;45;6;5;41;40;36
00000_00013.ppm;47;48;5;6;42;43;36
00000_00014.ppm;49;48;6;5;43;42;36
00000_00015.ppm;50;49;6;5;44;43;36
00000_00016.ppm;50;50;5;5;45;45;36
00000_00017.ppm;52;51;6;5;47;46;36
00000_00018.ppm;52;51;6;5;46;46;36
00000_00019.ppm;51;52;5;5;46;46;36
00000_00020.ppm;54;53;6;6;48;48;36
00000_00021.ppm;54;54;6;6;49;49;36
00000_00022.ppm;54;53;6;5;49;48;36
00000_00023.ppm;55;54;6;6;49;49;36
00000_00024.ppm;54;54;5;5;49;49;36
00000_00025.ppm;56;58;5;6;51;53;36
00000_00026.ppm;57;58;5;5;52;53;36
00000_00027.ppm;60;61;6;5;55;56;36
00000_00028.ppm;65;64;6;5;59;59;36
00000_00029.ppm;72;74;6;7;66;68;36
00001_00000.ppm;30;32;6;6;28;27;36
00001_00001.ppm;33;31;6;5;28;26;36
00001_00002.ppm;33;32;6;6;28;27;36
00001_00003.ppm;33;32;5;5;28;27;36
00001_00004.ppm;33;33;5;6;28;28;36
00001_00005.ppm;33;32;5;5;28;27;36
00001_00006.ppm;34;33;5;6;28;28;36
00001_00007.ppm;35;33;5;6;29;28;36
00001_00008.ppm;36;34;5;6;30;29;36
00001_00009.ppm;37;35;6;6;32;30;36
00001_00010.ppm;37;36;5;5;31;31;36
00001_00011.ppm;37;38;6;5;32;32;36
00001_00012.ppm;38;38;6;5;33;33;36
00001_00013.ppm;39;40;6;6;33;34;36
00001_00014.ppm;39;40;6;6;34;35;36
00001_00015.ppm;40;41;6;6;35;36;36
00001_00016.ppm;42;43;6;6;37;38;36
00001_00017.ppm;44;45;6;5;39;39;36
00001_00018.ppm;46;45;6;5;40;40;36
00001_00019.ppm;47;47;5;6;41;42;36
00001_00020.ppm;50;48;6;5;44;43;36
00001_00021.ppm;51;51;5;5;45;45;36
00001_00022.ppm;54;54;6;6;49;48;36
00001_00023.ppm;56;56;5;6;50;51;36
00001_00024.ppm;58;60;5;6;52;55;36
00001_00025.ppm;62;64;6;6;57;59;36
00001_00026.ppm;67;70;6;7;61;64;36
00001_00027.ppm;73;73;6;6;67;67;36
00001_00028.ppm;80;82;7;7;73;75;36
00001_00029.ppm;92;95;9;8;84;86;36
00002_00000.ppm;26;26;5;6;20;21;36
00002_00001.ppm;26;27;5;6;21;22;36
00002_00002.ppm;25;26;5;5;20;21;36
00002_00003.ppm;26;27;5;6;21;22;36
00002_00004.ppm;30;29;6;6;25;24;36
00002_00005.ppm;30;30;5;5;25;25;36
00002_00006.ppm;30;31;5;6;25;26;36
00002_00007.ppm;34;31;6;5;28;26;36
00002_00008.ppm;35;35;6;6;30;30;36
00002_00009.ppm;37;36;6;5;32;31;36
00002_00010.ppm;37;38;5;5;32;32;36
00002_00011.ppm;40;40;5;6;35;35;36
00002_00012.ppm;40;39;5;5;34;34;36
00002_00013.ppm;44;43;5;5;38;38;36
00002_00014.ppm;47;48;5;6;42;43;36
00002_00015.ppm;49;49;6;6;44;43;36
00002_00016.ppm;52;51;6;5;47;46;36
00002_00017.ppm;56;54;6;5;50;49;36
00002_00018.ppm;59;57;6;5;53;51;36
00002_00019.ppm;59;58;6;5;54;53;36
00002_00020.ppm;60;62;6;6;55;57;36
00002_00021.ppm;64;65;5;5;59;59;36
00002_00022.ppm;64;65;5;6;59;60;36
