Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;27;26;5;5;22;21;24
00000_00001.ppm;28;27;6;6;23;22;24
00000_00002.ppm;26;27;5;5;20;21;24
00000_00003.ppm;27;27;5;5;21;22;24
00000_00004.ppm;28;27;6;5;23;22;24
00000_00005.ppm;28;27;5;5;23;22;24
00000_00006.ppm;31;29;5;6;26;24;24
00000_00007.ppm;33;30;6;6;28;25;24
00000_00008.ppm;33;29;6;5;28;24;24
00000_00009.ppm;33;30;5;5;28;25;24
00000_00010.ppm;34;32;5;6;29;27;24
00000_00011.ppm;36;34;6;6;31;28;24
00000_00012.ppm;37;33;5;5;31;28;24
00000_00013.ppm;37;35;5;6;32;29;24
00000_00014.ppm;41;36;6;5;36;31;24
00000_00015.ppm;42;39;5;6;37;34;24
00000_00016.ppm;45;41;6;6;40;36;24
00000_00017.ppm;49;43;6;5;43;38;24
00000_00018.ppm;52;48;6;6;47;43;24
00000_00019.ppm;55;51;6;6;50;46;24
00000_00020.ppm;57;53;5;5;51;47;24
00000_00021.ppm;61;57;6;6;56;52;24
00000_00022.ppm;64;61;5;6;59;55;24
00000_00023.ppm;70;64;6;5;64;58;24
00000_00024.ppm;76;69;6;6;70;63;24
00000_00025.ppm;87;80;7;8;80;73;24
00000_00026.ppm;97;88;9;8;89;81;24
00000_00027.ppm;109;104;9;10;100;95;24
00000_00028.ppm;128;119;12;11;117;109;24
00000_00029.ppm;164;148;14;13;149;136;24
00001_00000.ppm;54;63;6;6;49;58;24
00001_00001.ppm;54;63;6;6;49;58;24
00001_00002.ppm;54;61;5;5;48;56;24
00001_00003.ppm;54;61;5;6;48;56;24
00001_00004.ppm;55;61;5;5;49;55;24
00001_00005.ppm;56;61;5;5;51;56;24
00001_00006.ppm;59;63;6;6;54;58;24
00001_00007.ppm;58;63;5;6;53;58;24
00001_00008.ppm;59;62;6;5;54;57;24
00001_00009.ppm;60;63;6;6;54;58;24
00001_00010.ppm;61;62;6;5;55;57;24
00001_00011.ppm;62;64;6;6;57;59;24
00001_00012.ppm;61;65;5;6;56;59;24
00001_00013.ppm;62;64;5;5;57;59;24
00001_00014.ppm;64;66;6;6;58;60;24
00001_00015.ppm;65;68;6;6;59;61;24
00001_00016.ppm;65;69;6;7;60;63;24
00001_00017.ppm;65;69;6;7;60;63;24
00001_00018.ppm;64;68;5;6;59;62;24
00001_00019.ppm;68;69;7;7;62;63;24
00001_00020.ppm;68;69;6;6;62;63;24
